Ano;Tema;Contagem
2002;Administração Pública;1
2003;Administração Pública;10
2003;Comunicações;1
2003;Direito Civil e Processual Civil;6
2003;Direitos Humanos e Minorias;11
2003;Economia;9
2003;Educação;1
2003;Energia, Recursos Hídricos e Minerais;7
2003;Esporte e Lazer;1
2003;Estrutura Fundiária;21
2003;Finanças Públicas e Orçamento;45
2003;Indústria, Comércio e Serviços;1
2003;Meio Ambiente e Desenvolvimento Sustentável;2
2003;Previdência e Assistência Social;2
2003;Relações Internacionais e Comércio Exterior;2
2003;Trabalho e Emprego;5
2003;Viação, Transporte e Mobilidade;4
2004;Administração Pública;79
2004;Agricultura, Pecuária, Pesca e Extrativismo;14
2004;Cidades e Desenvolvimento Urbano;6
2004;Ciência, Tecnologia e Inovação;7
2004;Defesa e Segurança;16
2004;Direito Civil e Processual Civil;1
2004;Direitos Humanos e Minorias;12
2004;Economia;28
2004;Educação;47
2004;Energia, Recursos Hídricos e Minerais;36
2004;Estrutura Fundiária;16
2004;Finanças Públicas e Orçamento;119
2004;Indústria, Comércio e Serviços;16
2004;Meio Ambiente e Desenvolvimento Sustentável;3
2004;Previdência e Assistência Social;32
2004;Relações Internacionais e Comércio Exterior;18
2004;Saúde;6
2004;Trabalho e Emprego;26
2004;Viação, Transporte e Mobilidade;13
2005;Administração Pública;56
2005;Agricultura, Pecuária, Pesca e Extrativismo;6
2005;Ciência, Tecnologia e Inovação;13
2005;Comunicações;3
2005;Defesa e Segurança;10
2005;Direito Civil e Processual Civil;9
2005;Direitos Humanos e Minorias;6
2005;Economia;28
2005;Educação;21
2005;Esporte e Lazer;8
2005;Finanças Públicas e Orçamento;85
2005;Indústria, Comércio e Serviços;15
2005;Meio Ambiente e Desenvolvimento Sustentável;5
2005;Previdência e Assistência Social;60
2005;Processo Legislativo e Atuação Parlamentar;1
2005;Saúde;17
2005;Trabalho e Emprego;21
2005;Viação, Transporte e Mobilidade;4
2006;Administração Pública;63
2006;Agricultura, Pecuária, Pesca e Extrativismo;3
2006;Arte, Cultura e Religião;3
2006;Cidades e Desenvolvimento Urbano;16
2006;Ciência, Tecnologia e Inovação;5
2006;Comunicações;5
2006;Defesa e Segurança;20
2006;Direito Civil e Processual Civil;13
2006;Direito Penal e Processual Penal;22
2006;Direito e Justiça;2
2006;Direitos Humanos e Minorias;5
2006;Economia;19
2006;Educação;8
2006;Energia, Recursos Hídricos e Minerais;13
2006;Esporte e Lazer;6
2006;Estrutura Fundiária;59
2006;Finanças Públicas e Orçamento;110
2006;Indústria, Comércio e Serviços;44
2006;Meio Ambiente e Desenvolvimento Sustentável;18
2006;Previdência e Assistência Social;43
2006;Processo Legislativo e Atuação Parlamentar;4
2006;Relações Internacionais e Comércio Exterior;3
2006;Saúde;5
2006;Trabalho e Emprego;37
2006;Viação, Transporte e Mobilidade;18
2007;Administração Pública;110
2007;Agricultura, Pecuária, Pesca e Extrativismo;9
2007;Arte, Cultura e Religião;17
2007;Cidades e Desenvolvimento Urbano;31
2007;Ciência, Tecnologia e Inovação;13
2007;Comunicações;27
2007;Defesa e Segurança;59
2007;Direito Civil e Processual Civil;29
2007;Direito Penal e Processual Penal;45
2007;Direitos Humanos e Minorias;44
2007;Economia;93
2007;Educação;68
2007;Energia, Recursos Hídricos e Minerais;17
2007;Esporte e Lazer;20
2007;Estrutura Fundiária;18
2007;Finanças Públicas e Orçamento;105
2007;Indústria, Comércio e Serviços;49
2007;Meio Ambiente e Desenvolvimento Sustentável;30
2007;Previdência e Assistência Social;43
2007;Relações Internacionais e Comércio Exterior;4
2007;Saúde;33
2007;Trabalho e Emprego;51
2007;Viação, Transporte e Mobilidade;51
2008;Administração Pública;97
2008;Arte, Cultura e Religião;10
2008;Cidades e Desenvolvimento Urbano;12
2008;Ciência, Tecnologia e Inovação;3
2008;Comunicações;44
2008;Defesa e Segurança;47
2008;Direito Civil e Processual Civil;18
2008;Direito Penal e Processual Penal;34
2008;Direito e Justiça;3
2008;Direitos Humanos e Minorias;34
2008;Economia;65
2008;Educação;26
2008;Energia, Recursos Hídricos e Minerais;10
2008;Esporte e Lazer;5
2008;Estrutura Fundiária;56
2008;Finanças Públicas e Orçamento;127
2008;Indústria, Comércio e Serviços;65
2008;Meio Ambiente e Desenvolvimento Sustentável;35
2008;Previdência e Assistência Social;33
2008;Processo Legislativo e Atuação Parlamentar;1
2008;Relações Internacionais e Comércio Exterior;4
2008;Saúde;17
2008;Trabalho e Emprego;56
2008;Turismo;5
2008;Viação, Transporte e Mobilidade;79
2009;Administração Pública;108
2009;Arte, Cultura e Religião;7
2009;Cidades e Desenvolvimento Urbano;54
2009;Ciência, Tecnologia e Inovação;1
2009;Comunicações;36
2009;Defesa e Segurança;10
2009;Direito Civil e Processual Civil;22
2009;Direito Penal e Processual Penal;6
2009;Direitos Humanos e Minorias;75
2009;Economia;145
2009;Educação;28
2009;Energia, Recursos Hídricos e Minerais;54
2009;Esporte e Lazer;21
2009;Estrutura Fundiária;75
2009;Finanças Públicas e Orçamento;219
2009;Homenagens e Datas Comemorativas;2
2009;Indústria, Comércio e Serviços;43
2009;Meio Ambiente e Desenvolvimento Sustentável;37
2009;Política, Partidos e Eleições;10
2009;Previdência e Assistência Social;36
2009;Relações Internacionais e Comércio Exterior;3
2009;Saúde;9
2009;Trabalho e Emprego;31
2009;Viação, Transporte e Mobilidade;76
2010;Administração Pública;31
2010;Arte, Cultura e Religião;9
2010;Cidades e Desenvolvimento Urbano;6
2010;Ciência, Tecnologia e Inovação;32
2010;Direito Civil e Processual Civil;2
2010;Direitos Humanos e Minorias;9
2010;Economia;45
2010;Educação;33
2010;Energia, Recursos Hídricos e Minerais;44
2010;Esporte e Lazer;10
2010;Finanças Públicas e Orçamento;45
2010;Indústria, Comércio e Serviços;10
2010;Meio Ambiente e Desenvolvimento Sustentável;12
2010;Previdência e Assistência Social;21
2010;Relações Internacionais e Comércio Exterior;7
2010;Saúde;2
2010;Trabalho e Emprego;21
2010;Viação, Transporte e Mobilidade;1
2011;Administração Pública;57
2011;Cidades e Desenvolvimento Urbano;12
2011;Ciência, Tecnologia e Inovação;5
2011;Comunicações;11
2011;Defesa e Segurança;4
2011;Direito Penal e Processual Penal;8
2011;Direito e Defesa do Consumidor;6
2011;Direitos Humanos e Minorias;6
2011;Economia;24
2011;Educação;31
2011;Energia, Recursos Hídricos e Minerais;21
2011;Esporte e Lazer;30
2011;Estrutura Fundiária;16
2011;Finanças Públicas e Orçamento;57
2011;Indústria, Comércio e Serviços;10
2011;Meio Ambiente e Desenvolvimento Sustentável;11
2011;Previdência e Assistência Social;12
2011;Relações Internacionais e Comércio Exterior;5
2011;Saúde;25
2011;Trabalho e Emprego;16
2011;Viação, Transporte e Mobilidade;37
2012;Administração Pública;25
2012;Agricultura, Pecuária, Pesca e Extrativismo;6
2012;Cidades e Desenvolvimento Urbano;15
2012;Ciência, Tecnologia e Inovação;5
2012;Comunicações;4
2012;Defesa e Segurança;8
2012;Direito Penal e Processual Penal;12
2012;Direito e Defesa do Consumidor;1
2012;Direitos Humanos e Minorias;13
2012;Economia;20
2012;Educação;16
2012;Energia, Recursos Hídricos e Minerais;18
2012;Finanças Públicas e Orçamento;39
2012;Indústria, Comércio e Serviços;11
2012;Meio Ambiente e Desenvolvimento Sustentável;9
2012;Relações Internacionais e Comércio Exterior;10
2012;Saúde;8
2012;Trabalho e Emprego;12
2012;Viação, Transporte e Mobilidade;4
2013;Administração Pública;6
2013;Arte, Cultura e Religião;2
2013;Cidades e Desenvolvimento Urbano;4
2013;Direitos Humanos e Minorias;6
2013;Economia;3
2013;Educação;21
2013;Estrutura Fundiária;4
2013;Finanças Públicas e Orçamento;21
2013;Indústria, Comércio e Serviços;1
2013;Meio Ambiente e Desenvolvimento Sustentável;7
2013;Previdência e Assistência Social;2
2013;Processo Legislativo e Atuação Parlamentar;1
2013;Saúde;14
2013;Trabalho e Emprego;10
2013;Viação, Transporte e Mobilidade;2
2014;Administração Pública;2
2014;Arte, Cultura e Religião;4
2014;Cidades e Desenvolvimento Urbano;1
2014;Direito Penal e Processual Penal;1
2014;Direitos Humanos e Minorias;14
2014;Educação;5
2014;Energia, Recursos Hídricos e Minerais;14
2014;Estrutura Fundiária;4
2014;Finanças Públicas e Orçamento;14
2014;Previdência e Assistência Social;14
2014;Saúde;14
2014;Trabalho e Emprego;4
2014;Turismo;3
2014;Viação, Transporte e Mobilidade;18
2015;Administração Pública;8
2015;Agricultura, Pecuária, Pesca e Extrativismo;2
2015;Defesa e Segurança;4
2015;Direito Civil e Processual Civil;1
2015;Direito Penal e Processual Penal;1
2015;Direitos Humanos e Minorias;16
2015;Economia;1
2015;Esporte e Lazer;1
2015;Finanças Públicas e Orçamento;26
2015;Indústria, Comércio e Serviços;1
2015;Meio Ambiente e Desenvolvimento Sustentável;15
2015;Política, Partidos e Eleições;10
2015;Saúde;2
2015;Trabalho e Emprego;6
2015;Turismo;2
2015;Viação, Transporte e Mobilidade;6
2016;Administração Pública;4
2016;Defesa e Segurança;4
2016;Economia;14
2016;Esporte e Lazer;11
2016;Finanças Públicas e Orçamento;16
2016;Indústria, Comércio e Serviços;4
2016;Meio Ambiente e Desenvolvimento Sustentável;4
2016;Previdência e Assistência Social;8
2016;Relações Internacionais e Comércio Exterior;2
2016;Saúde;4
2016;Trabalho e Emprego;4
2017;Administração Pública;53
2017;Defesa e Segurança;3
2017;Direito Civil e Processual Civil;1
2017;Estrutura Fundiária;16
2017;Finanças Públicas e Orçamento;4
2017;Indústria, Comércio e Serviços;6
2017;Previdência e Assistência Social;1
2017;Saúde;9
2017;Trabalho e Emprego;7
2018;Comunicações;12
2018;Defesa e Segurança;1
2018;Direito Civil e Processual Civil;2
2018;Direito Penal e Processual Penal;2
2018;Direito e Defesa do Consumidor;1
2018;Educação;1
2018;Energia, Recursos Hídricos e Minerais;1
2018;Finanças Públicas e Orçamento;2
2018;Saúde;5
2018;Trabalho e Emprego;6
2019;Administração Pública;19
2019;Arte, Cultura e Religião;1
2019;Cidades e Desenvolvimento Urbano;2
2019;Defesa e Segurança;7
2019;Direito Civil e Processual Civil;15
2019;Direito Penal e Processual Penal;3
2019;Direito e Defesa do Consumidor;1
2019;Direito e Justiça;3
2019;Direitos Humanos e Minorias;9
2019;Educação;3
2019;Finanças Públicas e Orçamento;64
2019;Indústria, Comércio e Serviços;1
2019;Política, Partidos e Eleições;23
2019;Previdência e Assistência Social;59
2019;Saúde;14
2019;Trabalho e Emprego;12
2020;Administração Pública;68
2020;Agricultura, Pecuária, Pesca e Extrativismo;14
2020;Arte, Cultura e Religião;8
2020;Cidades e Desenvolvimento Urbano;25
2020;Ciência, Tecnologia e Inovação;12
2020;Comunicações;25
2020;Defesa e Segurança;6
2020;Direito Civil e Processual Civil;7
2020;Direito e Defesa do Consumidor;54
2020;Direitos Humanos e Minorias;30
2020;Economia;110
2020;Educação;30
2020;Energia, Recursos Hídricos e Minerais;18
2020;Estrutura Fundiária;23
2020;Finanças Públicas e Orçamento;80
2020;Indústria, Comércio e Serviços;32
2020;Meio Ambiente e Desenvolvimento Sustentável;9
2020;Previdência e Assistência Social;17
2020;Relações Internacionais e Comércio Exterior;5
2020;Saúde;125
2020;Trabalho e Emprego;115
2020;Turismo;20
2020;Viação, Transporte e Mobilidade;46
2021;Administração Pública;143
2021;Agricultura, Pecuária, Pesca e Extrativismo;22
2021;Arte, Cultura e Religião;15
2021;Cidades e Desenvolvimento Urbano;8
2021;Ciência, Tecnologia e Inovação;16
2021;Comunicações;16
2021;Defesa e Segurança;6
2021;Direito Civil e Processual Civil;3
2021;Direito Penal e Processual Penal;1
2021;Direito e Defesa do Consumidor;32
2021;Direito e Justiça;19
2021;Direitos Humanos e Minorias;11
2021;Economia;149
2021;Energia, Recursos Hídricos e Minerais;57
2021;Finanças Públicas e Orçamento;147
2021;Indústria, Comércio e Serviços;38
2021;Meio Ambiente e Desenvolvimento Sustentável;1
2021;Previdência e Assistência Social;33
2021;Processo Legislativo e Atuação Parlamentar;1
2021;Relações Internacionais e Comércio Exterior;23
2021;Saúde;56
2021;Trabalho e Emprego;50
2021;Turismo;5
2021;Viação, Transporte e Mobilidade;29
2022;Administração Pública;23
2022;Agricultura, Pecuária, Pesca e Extrativismo;10
2022;Arte, Cultura e Religião;5
2022;Cidades e Desenvolvimento Urbano;13
2022;Ciência, Tecnologia e Inovação;17
2022;Comunicações;17
2022;Defesa e Segurança;18
2022;Direito Civil e Processual Civil;1
2022;Direito Penal e Processual Penal;3
2022;Direito e Defesa do Consumidor;10
2022;Direitos Humanos e Minorias;28
2022;Economia;30
2022;Educação;36
2022;Energia, Recursos Hídricos e Minerais;9
2022;Finanças Públicas e Orçamento;43
2022;Homenagens e Datas Comemorativas;2
2022;Previdência e Assistência Social;14
2022;Saúde;22
2022;Trabalho e Emprego;22
2022;Turismo;5
2022;Viação, Transporte e Mobilidade;18
